,ID,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,age,work_year,FLAG_WORK_PHONE,FLAG_PHONE,FLAG_EMAIL,OCCUPATION_TYPE,CNT_FAM_MEMBERS,month_on_book,target
36320,5100111,1,1,0,0,135,Pensioner,Secondary / secondary special,Married,House / apartment,28.05205479,7.247955325,0,0,0,Unknown,2,43,1
12840,5053118,1,1,0,1,270,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,37.07945205,3.890410959,0,0,0,Unknown,more,31,0
36412,5135845,0,0,1,1,180,Commercial associate,Secondary / secondary special,Married,House / apartment,44.47671233,16.64383562,0,1,0,Laborers,more,24,1
36255,5065624,1,0,1,0,247.5,Commercial associate,Secondary / secondary special,Married,House / apartment,41.92328767,1.632876712,1,1,0,Laborers,2,42,1
8335,5145895,0,0,1,0,90,Pensioner,Secondary / secondary special,Married,House / apartment,55.78630137,7.247955325,0,0,0,Unknown,2,35,0
2868,5022412,0,0,1,0,153,Pensioner,Higher education,Married,House / apartment,59.99726027,7.247955325,0,1,0,Unknown,2,3,0
19680,5087988,0,1,1,0,157.5,Working,Higher education,Single / not married,House / apartment,56.26849315,10.86849315,0,0,0,Unknown,1,14,0
35272,5149192,1,1,0,1,450,Working,Higher education,Married,House / apartment,26.97808219,1.375342466,0,1,1,Core staff,more,55,1
17715,5068208,0,0,0,0,166.5,Working,Secondary / secondary special,Married,House / apartment,61.73972603,14.97808219,0,1,0,Unknown,2,58,1
13781,5054314,0,0,0,0,112.5,Commercial associate,Secondary / secondary special,Married,House / apartment,55.57534247,4.750684932,1,1,0,High skill tech staff,2,52,1
36259,5068651,0,1,1,0,360,State servant,Higher education,Separated,House / apartment,52.89041096,5.219178082,0,0,0,Core staff,1,19,1
34728,5148445,1,1,1,0,225,Working,Secondary / secondary special,Married,House / apartment,30.75616438,6.126027397,0,0,0,Drivers,2,35,0
36271,5079166,1,1,0,0,202.5,Working,Secondary / secondary special,Married,With parents,37.5890411,3.819178082,0,0,0,Laborers,2,42,1
9823,5042211,0,0,0,0,225,Commercial associate,Higher education,Married,House / apartment,28.92876712,1.175342466,1,1,0,Drivers,2,17,0
9768,5042116,0,0,0,0,144,Working,Secondary / secondary special,Married,Municipal apartment,45.59178082,27.36438356,1,1,0,Sales staff,2,37,0
28854,5116746,1,0,1,1,157.5,Working,Secondary / secondary special,Married,House / apartment,42.81369863,6.342465753,0,0,0,Unknown,more,37,1
19225,5085767,1,1,1,1,405,State servant,Higher education,Married,House / apartment,31.59452055,13.47123288,0,0,0,Managers,more,23,0
28691,5116531,0,0,1,0,90,Pensioner,Secondary / secondary special,Married,House / apartment,58.71780822,7.247955325,0,0,0,Unknown,2,55,1
18485,5069209,0,1,1,0,135,Pensioner,Higher education,Married,House / apartment,55.41917808,7.247955325,0,0,0,Unknown,2,27,0
30419,5125612,1,1,1,0,247.5,Commercial associate,Higher education,Married,House / apartment,54.23561644,3.287671233,0,0,1,High skill tech staff,2,22,1
31723,5135345,1,0,1,0,112.5,Commercial associate,Higher education,Married,House / apartment,55.07671233,1.520547945,0,0,0,Security staff,2,55,1
36376,5116915,1,1,1,0,225,Working,Secondary / secondary special,Married,House / apartment,47.20547945,21.6109589,1,0,0,Managers,2,21,1
30460,5125669,0,0,0,0,45,State servant,Secondary / secondary special,Married,House / apartment,50.77260274,10.04383562,1,1,0,Core staff,2,6,0
15270,5061957,0,0,0,0,90,State servant,Higher education,Married,Rented apartment,43.44931507,4.208219178,0,0,0,Core staff,2,26,0
36414,5135991,0,0,1,1,585,Commercial associate,Higher education,Single / not married,House / apartment,28.57534247,2.465753425,0,0,0,Managers,2,34,1
1770,5011010,0,1,1,0,157.5,Working,Secondary / secondary special,Married,House / apartment,29.41643836,5.693150685,0,0,1,Sales staff,2,35,0
13905,5054491,0,0,1,0,103.5,Working,Secondary / secondary special,Married,House / apartment,43.24657534,3.583561644,0,0,0,Medicine staff,2,13,0
14816,5061386,1,1,0,0,450,Working,Secondary / secondary special,Married,House / apartment,43.86027397,12.71780822,0,0,0,Sales staff,2,38,0
36241,5058332,0,0,0,0,67.5,Pensioner,Secondary / secondary special,Married,House / apartment,56.79452055,7.247955325,0,0,0,Unknown,2,13,1
36234,5054386,1,1,0,0,292.5,Pensioner,Higher education,Single / not married,House / apartment,38.49315068,10.08219178,1,1,0,Laborers,1,41,1
36210,5050606,1,0,0,0,157.5,Working,Secondary / secondary special,Married,House / apartment,50.2109589,19.96712329,1,0,0,Laborers,2,16,1
13477,5053948,0,0,0,0,157.5,Pensioner,Secondary / secondary special,Married,Municipal apartment,56.68767123,7.247955325,0,0,0,Unknown,2,3,0
36199,5047666,0,0,1,1,67.5,Commercial associate,Secondary / secondary special,Married,House / apartment,51.7260274,11.27123288,0,0,0,Accountants,more,22,1
34523,5146079,0,0,1,1,108,Working,Secondary / secondary special,Married,House / apartment,34.85753425,3.101369863,1,1,0,Sales staff,more,55,1
629,5009597,0,1,0,0,144,Working,Secondary / secondary special,Married,House / apartment,47.62465753,2.438356164,1,1,0,Core staff,2,54,0
36213,5050706,0,1,0,0,157.5,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,33.72328767,5.375342466,0,0,0,Unknown,2,29,1
36136,5022697,1,1,1,0,315,Working,Secondary / secondary special,Single / not married,House / apartment,38.53150685,14.59178082,0,0,0,Drivers,1,11,1
36453,5149834,0,0,1,0,157.5,Commercial associate,Higher education,Married,House / apartment,33.9369863,3.630136986,0,1,1,Medicine staff,2,23,1
20974,5089972,1,0,0,0,135,Working,Secondary / secondary special,Single / not married,House / apartment,25.11506849,2.594520548,0,0,0,Cooking staff,1,12,0
36146,5024071,0,0,1,0,180,Working,Higher education,Married,House / apartment,43.76986301,2.339726027,0,0,0,Laborers,2,38,1
22790,5092372,1,1,1,0,292.5,Pensioner,Secondary / secondary special,Civil marriage,House / apartment,64.00547945,7.247955325,0,1,0,Unknown,2,26,0
